Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+025A4	▤	\squarehfill	Square With Horizontal Fill
U+025A5	▥	\squarevfill	Square With Vertical Fill
U+025A6	▦	\squarehvfill	Square With Orthogonal Crosshatch Fill
U+025A7	▧	\squarenwsefill	Square With Upper Left To Lower Right Fill
U+025A8	▨	\squareneswfill	Square With Upper Right To Lower Left Fill
U+025A9	▩	\squarecrossfill	Square With Diagonal Crosshatch Fill
U+025AA	▪	\smblksquare, \:black_small_square:	Black Small Square
U+025AB	▫	\smwhtsquare, \:white_small_square:	White Small Square
U+025AC	▬	\hrectangleblack	Black Rectangle
U+025AD	▭	\hrectangle	White Rectangle
U+025AE	▮	\vrectangleblack	Black Vertical Rectangle
U+025AF	▯	\vrecto	White Vertical Rectangle
U+025B0	▰	\parallelogramblack	Black Parallelogram
U+025B1	▱	\parallelogram	White Parallelogram
U+025B2	▲	\bigblacktriangleup	Black Up-Pointing Triangle / Black Up Pointing Triangle
U+025B3	△	\bigtriangleup	White Up-Pointing Triangle / White Up Pointing Triangle
U+025B4	▴	\blacktriangle	Black Up-Pointing Small Triangle / Black Up Pointing Small Triangle
U+025B5	▵	\vartriangle	White Up-Pointing Small Triangle / White Up Pointing Small Triangle
U+025B6	▶	\blacktriangleright, \:arrow_forward:	Black Right-Pointing Triangle / Black Right Pointing Triangle
U+025B7	▷	\triangleright	White Right-Pointing Triangle / White Right Pointing Triangle
U+025B8	▸	\smallblacktriangleright	Black Right-Pointing Small Triangle / Black Right Pointing Small Triangle
U+025B9	▹	\smalltriangleright	White Right-Pointing Small Triangle / White Right Pointing Small Triangle
U+025BA	►	\blackpointerright	Black Right-Pointing Pointer / Black Right Pointing Pointer
U+025BB	▻	\whitepointerright	White Right-Pointing Pointer / White Right Pointing Pointer
U+025BC	▼	\bigblacktriangledown	Black Down-Pointing Triangle / Black Down Pointing Triangle
U+025BD	▽	\bigtriangledown	White Down-Pointing Triangle / White Down Pointing Triangle
U+025BE	▾	\blacktriangledown	Black Down-Pointing Small Triangle / Black Down Pointing Small Triangle
U+025BF	▿	\triangledown	White Down-Pointing Small Triangle / White Down Pointing Small Triangle
U+025C0	◀	\blacktriangleleft, \:arrow_backward:	Black Left-Pointing Triangle / Black Left Pointing Triangle
U+025C1	◁	\triangleleft	White Left-Pointing Triangle / White Left Pointing Triangle
U+025C2	◂	\smallblacktriangleleft	Black Left-Pointing Small Triangle / Black Left Pointing Small Triangle
U+025C3	◃	\smalltriangleleft	White Left-Pointing Small Triangle / White Left Pointing Small Triangle
U+025C4	◄	\blackpointerleft	Black Left-Pointing Pointer / Black Left Pointing Pointer
U+025C5	◅	\whitepointerleft	White Left-Pointing Pointer / White Left Pointing Pointer
U+025C6	◆	\mdlgblkdiamond	Black Diamond
U+025C7	◇	\mdlgwhtdiamond	White Diamond
U+025C8	◈	\blackinwhitediamond	White Diamond Containing Black Small Diamond
U+025C9	◉	\fisheye	Fisheye
U+025CA	◊	\lozenge	Lozenge
U+025CB	○	\bigcirc	White Circle
U+025CC	◌	\dottedcircle	Dotted Circle
U+025CD	◍	\circlevertfill	Circle With Vertical Fill
U+025CE	◎	\bullseye	Bullseye
U+025CF	●	\mdlgblkcircle	Black Circle
U+025D0	◐	\cirfl	Circle With Left Half Black
U+025D1	◑	\cirfr	Circle With Right Half Black
U+025D2	◒	\cirfb	Circle With Lower Half Black
U+025D3	◓	\circletophalfblack	Circle With Upper Half Black
U+025D4	◔	\circleurquadblack	Circle With Upper Right Quadrant Black
U+025D5	◕	\blackcircleulquadwhite	Circle With All But Upper Left Quadrant Black
U+025D6	◖	\blacklefthalfcircle	Left Half Black Circle
U+025D7	◗	\blackrighthalfcircle	Right Half Black Circle
U+025D8	◘	\rvbull	Inverse Bullet
U+025D9	◙	\inversewhitecircle	Inverse White Circle
U+025DA	◚	\invwhiteupperhalfcircle	Upper Half Inverse White Circle
U+025DB	◛	\invwhitelowerhalfcircle	Lower Half Inverse White Circle
U+025DC	◜	\ularc	Upper Left Quadrant Circular Arc
U+025DD	◝	\urarc	Upper Right Quadrant Circular Arc
U+025DE	◞	\lrarc	Lower Right Quadrant Circular Arc
U+025DF	◟	\llarc	Lower Left Quadrant Circular Arc
U+025E0	◠	\topsemicircle	Upper Half Circle
U+025E1	◡	\botsemicircle	Lower Half Circle
U+025E2	◢	\lrblacktriangle	Black Lower Right Triangle
U+025E3	◣	\llblacktriangle	Black Lower Left Triangle
U+025E4	◤	\ulblacktriangle	Black Upper Left Triangle
U+025E5	◥	\urblacktriangle	Black Upper Right Triangle
U+025E6	◦	\smwhtcircle	White Bullet
U+025E7	◧	\sqfl	Square With Left Half Black
U+025E8	◨	\sqfr	Square With Right Half Black
U+025E9	◩	\squareulblack	Square With Upper Left Diagonal Half Black
U+025EA	◪	\sqfse	Square With Lower Right Diagonal Half Black
U+025EB	◫	\boxbar	White Square With Vertical Bisecting Line
U+025EC	◬	\trianglecdot	White Up-Pointing Triangle With Dot / White Up Pointing Triangle With Dot
U+025ED	◭	\triangleleftblack	Up-Pointing Triangle With Left Half Black / Up Pointing Triangle With Left Half Black
U+025EE	◮	\trianglerightblack	Up-Pointing Triangle With Right Half Black / Up Pointing Triangle With Right Half Black
U+025EF	◯	\lgwhtcircle	Large Circle
U+025F0	◰	\squareulquad	White Square With Upper Left Quadrant
U+025F1	◱	\squarellquad	White Square With Lower Left Quadrant
U+025F2	◲	\squarelrquad	White Square With Lower Right Quadrant
U+025F3	◳	\squareurquad	White Square With Upper Right Quadrant
U+025F4	◴	\circleulquad	White Circle With Upper Left Quadrant
U+025F5	◵	\circlellquad	White Circle With Lower Left Quadrant
U+025F6	◶	\circlelrquad	White Circle With Lower Right Quadrant
U+025F7	◷	\circleurquad	White Circle With Upper Right Quadrant
U+025F8	◸	\ultriangle	Upper Left Triangle
U+025F9	◹	\urtriangle	Upper Right Triangle
U+025FA	◺	\lltriangle	Lower Left Triangle
U+025FB	◻	\mdwhtsquare, \:white_medium_square:	White Medium Square
U+025FC	◼	\mdblksquare, \:black_medium_square:	Black Medium Square
U+025FD	◽	\mdsmwhtsquare, \:white_medium_small_square:	White Medium Small Square
U+025FE	◾	\mdsmblksquare, \:black_medium_small_square:	Black Medium Small Square
U+025FF	◿	\lrtriangle	Lower Right Triangle
U+02600	☀	\:sunny:	Black Sun With Rays
U+02601	☁	\:cloud:	Cloud
U+02605	★	\bigstar	Black Star
U+02606	☆	\bigwhitestar	White Star
U+02609	☉	\astrosun	Sun
U+0260E	☎	\:phone:	Black Telephone
U+02611	☑	\:ballot_box_with_check:	Ballot Box With Check
U+02614	☔	\:umbrella:	Umbrella With Rain Drops
U+02615	☕	\:coffee:	Hot Beverage
U+0261D	☝	\:point_up:	White Up Pointing Index
U+02621	☡	\danger	Caution Sign
U+0263A	☺	\:relaxed:	White Smiling Face
U+0263B	☻	\blacksmiley	Black Smiling Face
U+0263C	☼	\sun	White Sun With Rays
U+0263D	☽	\rightmoon	First Quarter Moon
U+0263E	☾	\leftmoon	Last Quarter Moon
U+0263F	☿	\mercury	Mercury
U+02640	♀	\venus, \female	Female Sign
U+02642	♂	\male, \mars	Male Sign
U+02643	♃	\jupiter	Jupiter
U+02644	♄	\saturn	Saturn
U+02645	♅	\uranus	Uranus
U+02646	♆	\neptune	Neptune
U+02647	♇	\pluto	Pluto
U+02648	♈	\aries, \:aries:	Aries
U+02649	♉	\taurus, \:taurus:	Taurus
U+0264A	♊	\gemini, \:gemini:	Gemini
U+0264B	♋	\cancer, \:cancer:	Cancer
U+0264C	♌	\leo, \:leo:	Leo
U+0264D	♍	\virgo, \:virgo:	Virgo
U+0264E	♎	\libra, \:libra:	Libra
U+0264F	♏	\scorpio, \:scorpius:	Scorpius
U+02650	♐	\sagittarius, \:sagittarius:	Sagittarius
U+02651	♑	\capricornus, \:capricorn:	Capricorn
U+02652	♒	\aquarius, \:aquarius:	Aquarius
U+02653	♓	\pisces, \:pisces:	Pisces
U+02660	♠	\spadesuit, \:spades:	Black Spade Suit
U+02661	♡	\heartsuit	White Heart Suit
U+02662	♢	\diamondsuit	White Diamond Suit
U+02663	♣	\clubsuit, \:clubs:	Black Club Suit
U+02664	♤	\varspadesuit	White Spade Suit
U+02665	♥	\varheartsuit, \:hearts:	Black Heart Suit
U+02666	♦	\vardiamondsuit, \:diamonds:	Black Diamond Suit
U+02667	♧	\varclubsuit	White Club Suit
U+02668	♨	\:hotsprings:	Hot Springs
U+02669	♩	\quarternote	Quarter Note
U+0266A	♪	\eighthnote	Eighth Note
U+0266B	♫	\twonotes	Beamed Eighth Notes / Barred Eighth Notes
U+0266D	♭	\flat	Music Flat Sign / Flat
U+0266E	♮	\natural	Music Natural Sign / Natural
U+0266F	♯	\sharp	Music Sharp Sign / Sharp
U+0267B	♻	\:recycle:	Black Universal Recycling Symbol
U+0267E	♾	\acidfree	Permanent Paper Sign
U+0267F	♿	\:wheelchair:	Wheelchair Symbol
U+02680	⚀	\dicei	Die Face-1
U+02681	⚁	\diceii	Die Face-2
U+02682	⚂	\diceiii	Die Face-3
U+02683	⚃	\diceiv	Die Face-4
U+02684	⚄	\dicev	Die Face-5
U+02685	⚅	\dicevi	Die Face-6
U+02686	⚆	\circledrightdot	White Circle With Dot Right
U+02687	⚇	\circledtwodots	White Circle With Two Dots
U+02688	⚈	\blackcircledrightdot	Black Circle With White Dot Right
U+02689	⚉	\blackcircledtwodots	Black Circle With Two White Dots
U+02693	⚓	\:anchor:	Anchor
U+026A0	⚠	\:warning:	Warning Sign
U+026A1	⚡	\:zap:	High Voltage Sign
U+026A5	⚥	\hermaphrodite	Male And Female Sign
U+026AA	⚪	\mdwhtcircle, \:white_circle:	Medium White Circle
U+026AB	⚫	\mdblkcircle, \:black_circle:	Medium Black Circle
U+026AC	⚬	\mdsmwhtcircle	Medium Small White Circle
U+026B2	⚲	\neuter	Neuter
U+026BD	⚽	\:soccer:	Soccer Ball
U+026BE	⚾	\:baseball:	Baseball
U+026C4	⛄	\:snowman:	Snowman Without Snow
U+026C5	⛅	\:partly_sunny:	Sun Behind Cloud
U+026CE	⛎	\:ophiuchus:	Ophiuchus
U+026D4	⛔	\:no_entry:	No Entry
U+026EA	⛪	\:church:	Church
U+026F2	⛲	\:fountain:	Fountain
U+026F3	⛳	\:golf:	Flag In Hole
U+026F5	⛵	\:boat:	Sailboat
U+026FA	⛺	\:tent:	Tent
U+026FD	⛽	\:fuelpump:	Fuel Pump
U+02702	✂	\:scissors:	Black Scissors
U+02705	✅	\:white_check_mark:	White Heavy Check Mark
U+02708	✈	\:airplane:	Airplane
U+02709	✉	\:email:	Envelope
U+0270A	✊	\:fist:	Raised Fist
U+0270B	✋	\:hand:	Raised Hand
U+0270C	✌	\:v:	Victory Hand
U+0270F	✏	\:pencil2:	Pencil
U+02712	✒	\:black_nib:	Black Nib
U+02713	✓	\checkmark	Check Mark
U+02714	✔	\:heavy_check_mark:	Heavy Check Mark
U+02716	✖	\:heavy_multiplication_x:	Heavy Multiplication X
U+02720	✠	\maltese	Maltese Cross
U+02728	✨	\:sparkles:	Sparkles
U+0272A	✪	\circledstar	Circled White Star
U+02733	✳	\:eight_spoked_asterisk:	Eight Spoked Asterisk
U+02734	✴	\:eight_pointed_black_star:	Eight Pointed Black Star
U+02736	✶	\varstar	Six Pointed Black Star
U+0273D	✽	\dingasterisk	Heavy Teardrop-Spoked Asterisk
U+02744	❄	\:snowflake:	Snowflake
U+02747	❇	\:sparkle:	Sparkle
U+0274C	❌	\:x:	Cross Mark
U+0274E	❎	\:negative_squared_cross_mark:	Negative Squared Cross Mark
U+02753	❓	\:question:	Black Question Mark Ornament
U+02754	❔	\:grey_question:	White Question Mark Ornament
U+02755	❕	\:grey_exclamation:	White Exclamation Mark Ornament
U+02757	❗	\:exclamation:	Heavy Exclamation Mark Symbol
U+02764	❤	\:heart:	Heavy Black Heart
U+02795	➕	\:heavy_plus_sign:	Heavy Plus Sign
U+02796	➖	\:heavy_minus_sign:	Heavy Minus Sign
U+02797	➗	\:heavy_division_sign:	Heavy Division Sign
U+0279B	➛	\draftingarrow	Drafting Point Rightwards Arrow / Drafting Point Right Arrow
U+027A1	➡	\:arrow_right:	Black Rightwards Arrow / Black Right Arrow
U+027B0	➰	\:curly_loop:	Curly Loop
U+027BF	➿	\:loop:	Double Curly Loop
U+027C0	⟀	\threedangle	Three Dimensional Angle
U+027C1	⟁	\whiteinwhitetriangle	White Triangle Containing Small White Triangle
U+027C2	⟂	\perp	Perpendicular
U+027C8	⟈	\bsolhsub	Reverse Solidus Preceding Subset
U+027C9	⟉	\suphsol	Superset Preceding Solidus
U+027D1	⟑	\wedgedot	And With Dot
U+027D2	⟒	\upin	Element Of Opening Upwards
U+027D5	⟕	\leftouterjoin	Left Outer Join
U+027D6	⟖	\rightouterjoin	Right Outer Join
U+027D7	⟗	\fullouterjoin	Full Outer Join
U+027D8	⟘	\bigbot	Large Up Tack
U+027D9	⟙	\bigtop	Large Down Tack
U+027E6	⟦	\llbracket, \openbracketleft	Mathematical Left White Square Bracket
U+027E7	⟧	\openbracketright, \rrbracket	Mathematical Right White Square Bracket
U+027E8	⟨	\langle	Mathematical Left Angle Bracket
U+027E9	⟩	\rangle	Mathematical Right Angle Bracket
U+027F0	⟰	\UUparrow	Upwards Quadruple Arrow
U+027F1	⟱	\DDownarrow	Downwards Quadruple Arrow
U+027F5	⟵	\longleftarrow	Long Leftwards Arrow
U+027F6	⟶	\longrightarrow	Long Rightwards Arrow
U+027F7	⟷	\longleftrightarrow	Long Left Right Arrow
U+027F8	⟸	\impliedby, \Longleftarrow	Long Leftwards Double Arrow
U+027F9	⟹	\implies, \Longrightarrow	Long Rightwards Double Arrow
U+027FA	⟺	\Longleftrightarrow, \iff	Long Left Right Double Arrow
U+027FB	⟻	\longmapsfrom	Long Leftwards Arrow From Bar
U+027FC	⟼	\longmapsto	Long Rightwards Arrow From Bar
U+027FD	⟽	\Longmapsfrom	Long Leftwards Double Arrow From Bar
U+027FE	⟾	\Longmapsto	Long Rightwards Double Arrow From Bar
U+027FF	⟿	\longrightsquigarrow	Long Rightwards Squiggle Arrow
U+02900	⤀	\nvtwoheadrightarrow	Rightwards Two-Headed Arrow With Vertical Stroke
U+02901	⤁	\nVtwoheadrightarrow	Rightwards Two-Headed Arrow With Double Vertical Stroke
U+02902	⤂	\nvLeftarrow	Leftwards Double Arrow With Vertical Stroke
U+02903	⤃	\nvRightarrow	Rightwards Double Arrow With Vertical Stroke
U+02904	⤄	\nvLeftrightarrow	Left Right Double Arrow With Vertical Stroke
U+02905	⤅	\twoheadmapsto	Rightwards Two-Headed Arrow From Bar
U+02906	⤆	\Mapsfrom	Leftwards Double Arrow From Bar
U+02907	⤇	\Mapsto	Rightwards Double Arrow From Bar
U+02908	⤈	\downarrowbarred	Downwards Arrow With Horizontal Stroke
U+02909	⤉	\uparrowbarred	Upwards Arrow With Horizontal Stroke
U+0290A	⤊	\Uuparrow	Upwards Triple Arrow
U+0290B	⤋	\Ddownarrow	Downwards Triple Arrow
U+0290C	⤌	\leftbkarrow	Leftwards Double Dash Arrow
U+0290D	⤍	\bkarow	Rightwards Double Dash Arrow
U+0290E	⤎	\leftdbkarrow	Leftwards Triple Dash Arrow
U+0290F	⤏	\dbkarow	Rightwards Triple Dash Arrow
U+02910	⤐	\drbkarrow	Rightwards Two-Headed Triple Dash Arrow
U+02911	⤑	\rightdotarrow	Rightwards Arrow With Dotted Stem
U+02912	⤒	\UpArrowBar	Upwards Arrow To Bar
U+02913	⤓	\DownArrowBar	Downwards Arrow To Bar
U+02914	⤔	\nvrightarrowtail	Rightwards Arrow With Tail With Vertical Stroke
U+02915	⤕	\nVrightarrowtail	Rightwards Arrow With Tail With Double Vertical Stroke
U+02916	⤖	\twoheadrightarrowtail	Rightwards Two-Headed Arrow With Tail
U+02917	⤗	\nvtwoheadrightarrowtail	Rightwards Two-Headed Arrow With Tail With Vertical Stroke
U+02918	⤘	\nVtwoheadrightarrowtail	Rightwards Two-Headed Arrow With Tail With Double Vertical Stroke
U+0291D	⤝	\diamondleftarrow	Leftwards Arrow To Black Diamond
U+0291E	⤞	\rightarrowdiamond	Rightwards Arrow To Black Diamond
U+0291F	⤟	\diamondleftarrowbar	Leftwards Arrow From Bar To Black Diamond
U+02920	⤠	\barrightarrowdiamond	Rightwards Arrow From Bar To Black Diamond
U+02925	⤥	\hksearow	South East Arrow With Hook
U+02926	⤦	\hkswarow	South West Arrow With Hook
U+02927	⤧	\tona	North West Arrow And North East Arrow
U+02928	⤨	\toea	North East Arrow And South East Arrow
U+02929	⤩	\tosa	South East Arrow And South West Arrow
U+0292A	⤪	\towa	South West Arrow And North West Arrow
U+0292B	⤫	\rdiagovfdiag	Rising Diagonal Crossing Falling Diagonal
U+0292C	⤬	\fdiagovrdiag	Falling Diagonal Crossing Rising Diagonal
U+0292D	⤭	\seovnearrow	South East Arrow Crossing North East Arrow
U+0292E	⤮	\neovsearrow	North East Arrow Crossing South East Arrow
U+0292F	⤯	\fdiagovnearrow	Falling Diagonal Crossing North East Arrow
U+02930	⤰	\rdiagovsearrow	Rising Diagonal Crossing South East Arrow
U+02931	⤱	\neovnwarrow	North East Arrow Crossing North West Arrow
U+02932	⤲	\nwovnearrow	North West Arrow Crossing North East Arrow
U+02934	⤴	\:arrow_heading_up:	Arrow Pointing Rightwards Then Curving Upwards
U+02935	⤵	\:arrow_heading_down:	Arrow Pointing Rightwards Then Curving Downwards
U+02942	⥂	\Rlarr	Rightwards Arrow Above Short Leftwards Arrow
U+02944	⥄	\rLarr	Short Rightwards Arrow Above Leftwards Arrow
U+02945	⥅	\rightarrowplus	Rightwards Arrow With Plus Below
U+02946	⥆	\leftarrowplus	Leftwards Arrow With Plus Below
U+02947	⥇	\rarrx	Rightwards Arrow Through X
U+02948	⥈	\leftrightarrowcircle	Left Right Arrow Through Small Circle
U+02949	⥉	\twoheaduparrowcircle	Upwards Two-Headed Arrow From Small Circle
U+0294A	⥊	\leftrightharpoonupdown	Left Barb Up Right Barb Down Harpoon
U+0294B	⥋	\leftrightharpoondownup	Left Barb Down Right Barb Up Harpoon
U+0294C	⥌	\updownharpoonrightleft	Up Barb Right Down Barb Left Harpoon
U+0294D	⥍	\updownharpoonleftright	Up Barb Left Down Barb Right Harpoon
U+0294E	⥎	\LeftRightVector	Left Barb Up Right Barb Up Harpoon
U+0294F	⥏	\RightUpDownVector	Up Barb Right Down Barb Right Harpoon
U+02950	⥐	\DownLeftRightVector	Left Barb Down Right Barb Down Harpoon
U+02951	⥑	\LeftUpDownVector	Up Barb Left Down Barb Left Harpoon
U+02952	⥒	\LeftVectorBar	Leftwards Harpoon With Barb Up To Bar
U+02953	⥓	\RightVectorBar	Rightwards Harpoon With Barb Up To Bar
U+02954	⥔	\RightUpVectorBar	Upwards Harpoon With Barb Right To Bar
U+02955	⥕	\RightDownVectorBar	Downwards Harpoon With Barb Right To Bar
U+02956	⥖	\DownLeftVectorBar	Leftwards Harpoon With Barb Down To Bar
U+02957	⥗	\DownRightVectorBar	Rightwards Harpoon With Barb Down To Bar
U+02958	⥘	\LeftUpVectorBar	Upwards Harpoon With Barb Left To Bar
U+02959	⥙	\LeftDownVectorBar	Downwards Harpoon With Barb Left To Bar
U+0295A	⥚	\LeftTeeVector	Leftwards Harpoon With Barb Up From Bar
U+0295B	⥛	\RightTeeVector	Rightwards Harpoon With Barb Up From Bar
U+0295C	⥜	\RightUpTeeVector	Upwards Harpoon With Barb Right From Bar
U+0295D	⥝	\RightDownTeeVector	Downwards Harpoon With Barb Right From Bar
U+0295E	⥞	\DownLeftTeeVector	Leftwards Harpoon With Barb Down From Bar
U+0295F	⥟	\DownRightTeeVector	Rightwards Harpoon With Barb Down From Bar
U+02960	⥠	\LeftUpTeeVector	Upwards Harpoon With Barb Left From Bar
U+02961	⥡	\LeftDownTeeVector	Downwards Harpoon With Barb Left From Bar
U+02962	⥢	\leftharpoonsupdown	Leftwards Harpoon With Barb Up Above Leftwards Harpoon With Barb Down
U+02963	⥣	\upharpoonsleftright	Upwards Harpoon With Barb Left Beside Upwards Harpoon With Barb Right
U+02964	⥤	\rightharpoonsupdown	Rightwards Harpoon With Barb Up Above Rightwards Harpoon With Barb Down
U+02965	⥥	\downharpoonsleftright	Downwards Harpoon With Barb Left Beside Downwards Harpoon With Barb Right
U+02966	⥦	\leftrightharpoonsup	Leftwards Harpoon With Barb Up Above Rightwards Harpoon With Barb Up
U+02967	⥧	\leftrightharpoonsdown	Leftwards Harpoon With Barb Down Above Rightwards Harpoon With Barb Down
U+02968	⥨	\rightleftharpoonsup	Rightwards Harpoon With Barb Up Above Leftwards Harpoon With Barb Up
U+02969	⥩	\rightleftharpoonsdown	Rightwards Harpoon With Barb Down Above Leftwards Harpoon With Barb Down
U+0296A	⥪	\leftharpoonupdash	Leftwards Harpoon With Barb Up Above Long Dash
U+0296B	⥫	\dashleftharpoondown	Leftwards Harpoon With Barb Down Below Long Dash
U+0296C	⥬	\rightharpoonupdash	Rightwards Harpoon With Barb Up Above Long Dash
U+0296D	⥭	\dashrightharpoondown	Rightwards Harpoon With Barb Down Below Long Dash
U+0296E	⥮	\UpEquilibrium	Upwards Harpoon With Barb Left Beside Downwards Harpoon With Barb Right
U+0296F	⥯	\ReverseUpEquilibrium	Downwards Harpoon With Barb Left Beside Upwards Harpoon With Barb Right
U+02970	⥰	\RoundImplies	Right Double Arrow With Rounded Head
U+02980	⦀	\Vvert	Triple Vertical Bar Delimiter
U+02986	⦆	\Elroang	Right White Parenthesis
U+02999	⦙	\ddfnc	Dotted Fence
U+0299B	⦛	\measuredangleleft	Measured Angle Opening Left
U+0299C	⦜	\Angle	Right Angle Variant With Square
U+0299D	⦝	\rightanglemdot	Measured Right Angle With Dot
U+0299E	⦞	\angles	Angle With S Inside
U+0299F	⦟	\angdnr	Acute Angle
U+029A0	⦠	\lpargt	Spherical Angle Opening Left
U+029A1	⦡	\sphericalangleup	Spherical Angle Opening Up
U+029A2	⦢	\turnangle	Turned Angle
U+029A3	⦣	\revangle	Reversed Angle
U+029A4	⦤	\angleubar	Angle With Underbar
U+029A5	⦥	\revangleubar	Reversed Angle With Underbar
U+029A6	⦦	\wideangledown	Oblique Angle Opening Up
U+029A7	⦧	\wideangleup	Oblique Angle Opening Down
U+029A8	⦨	\measanglerutone	Measured Angle With Open Arm Ending In Arrow Pointing Up And Right
U+029A9	⦩	\measanglelutonw	Measured Angle With Open Arm Ending In Arrow Pointing Up And Left
U+029AA	⦪	\measanglerdtose	Measured Angle With Open Arm Ending In Arrow Pointing Down And Right
U+029AB	⦫	\measangleldtosw	Measured Angle With Open Arm Ending In Arrow Pointing Down And Left
U+029AC	⦬	\measangleurtone	Measured Angle With Open Arm Ending In Arrow Pointing Right And Up
U+029AD	⦭	\measangleultonw	Measured Angle With Open Arm Ending In Arrow Pointing Left And Up
U+029AE	⦮	\measangledrtose	Measured Angle With Open Arm Ending In Arrow Pointing Right And Down
U+029AF	⦯	\measangledltosw	Measured Angle With Open Arm Ending In Arrow Pointing Left And Down
U+029B0	⦰	\revemptyset	Reversed Empty Set
U+029B1	⦱	\emptysetobar	Empty Set With Overbar
U+029B2	⦲	\emptysetocirc	Empty Set With Small Circle Above
U+029B3	⦳	\emptysetoarr	Empty Set With Right Arrow Above
U+029B4	⦴	\emptysetoarrl	Empty Set With Left Arrow Above
U+029B7	⦷	\circledparallel	Circled Parallel
U+029B8	⦸	\obslash	Circled Reverse Solidus
U+029BC	⦼	\odotslashdot	Circled Anticlockwise-Rotated Division Sign
U+029BE	⦾	\circledwhitebullet	Circled White Bullet
U+029BF	⦿	\circledbullet	Circled Bullet
U+029C0	⧀	\olessthan	Circled Less-Than
U+029C1	⧁	\ogreaterthan	Circled Greater-Than
U+029C4	⧄	\boxdiag	Squared Rising Diagonal Slash
U+029C5	⧅	\boxbslash	Squared Falling Diagonal Slash
U+029C6	⧆	\boxast	Squared Asterisk
U+029C7	⧇	\boxcircle	Squared Small Circle
U+029CA	⧊	\Lap	Triangle With Dot Above
U+029CB	⧋	\defas	Triangle With Underbar
U+029CF	⧏	\LeftTriangleBar	Left Triangle Beside Vertical Bar
U+029CF + U+00338	⧏̸	\NotLeftTriangleBar	Left Triangle Beside Vertical Bar + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+029D0	⧐	\RightTriangleBar	Vertical Bar Beside Right Triangle
U+029D0 + U+00338	⧐̸	\NotRightTriangleBar	Vertical Bar Beside Right Triangle + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+029DF	⧟	\dualmap	Double-Ended Multimap
U+029E1	⧡	\lrtriangleeq	Increases As
U+029E2	⧢	\shuffle	Shuffle Product
U+029E3	⧣	\eparsl	Equals Sign And Slanted Parallel
U+029E4	⧤	\smeparsl	Equals Sign And Slanted Parallel With Tilde Above
U+029E5	⧥	\eqvparsl	Identical To And Slanted Parallel
U+029EB	⧫	\blacklozenge	Black Lozenge
U+029F4	⧴	\RuleDelayed	Rule-Delayed
U+029F6	⧶	\dsol	Solidus With Overbar
U+029F7	⧷	\rsolbar	Reverse Solidus With Horizontal Stroke
U+029FA	⧺	\doubleplus	Double Plus
U+029FB	⧻	\tripleplus	Triple Plus
U+02A00	⨀	\bigodot	N-Ary Circled Dot Operator
U+02A01	⨁	\bigoplus	N-Ary Circled Plus Operator
U+02A02	⨂	\bigotimes	N-Ary Circled Times Operator
U+02A03	⨃	\bigcupdot	N-Ary Union Operator With Dot
U+02A04	⨄	\biguplus	N-Ary Union Operator With Plus
U+02A05	⨅	\bigsqcap	N-Ary Square Intersection Operator
U+02A06	⨆	\bigsqcup	N-Ary Square Union Operator
U+02A07	⨇	\conjquant	Two Logical And Operator
U+02A08	⨈	\disjquant	Two Logical Or Operator
U+02A09	⨉	\bigtimes	N-Ary Times Operator
U+02A0A	⨊	\modtwosum	Modulo Two Sum
U+02A0B	⨋	\sumint	Summation With Integral
U+02A0C	⨌	\iiiint	Quadruple Integral Operator
U+02A0D	⨍	\intbar	Finite Part Integral
U+02A0E	⨎	\intBar	Integral With Double Stroke
U+02A0F	⨏	\clockoint	Integral Average With Slash
U+02A10	⨐	\cirfnint	Circulation Function
U+02A11	⨑	\awint	Anticlockwise Integration
U+02A12	⨒	\rppolint	Line Integration With Rectangular Path Around Pole
U+02A13	⨓	\scpolint	Line Integration With Semicircular Path Around Pole
U+02A14	⨔	\npolint	Line Integration Not Including The Pole
U+02A15	⨕	\pointint	Integral Around A Point Operator
U+02A16	⨖	\sqrint	Quaternion Integral Operator
U+02A18	⨘	\intx	Integral With Times Sign
U+02A19	⨙	\intcap	Integral With Intersection
U+02A1A	⨚	\intcup	Integral With Union
U+02A1B	⨛	\upint	Integral With Overbar
U+02A1C	⨜	\lowint	Integral With Underbar
U+02A1D	⨝	\Join, \join	Join
U+02A1F	⨟	\bbsemi	Z Notation Schema Composition
U+02A22	⨢	\ringplus	Plus Sign With Small Circle Above
U+02A23	⨣	\plushat	Plus Sign With Circumflex Accent Above
U+02A24	⨤	\simplus	Plus Sign With Tilde Above
U+02A25	⨥	\plusdot	Plus Sign With Dot Below
U+02A26	⨦	\plussim	Plus Sign With Tilde Below
U+02A27	⨧	\plussubtwo	Plus Sign With Subscript Two
U+02A28	⨨	\plustrif	Plus Sign With Black Triangle
U+02A29	⨩	\commaminus	Minus Sign With Comma Above
U+02A2A	⨪	\minusdot	Minus Sign With Dot Below
U+02A2B	⨫	\minusfdots	Minus Sign With Falling Dots
U+02A2C	⨬	\minusrdots	Minus Sign With Rising Dots
U+02A2D	⨭	\opluslhrim	Plus Sign In Left Half Circle
U+02A2E	⨮	\oplusrhrim	Plus Sign In Right Half Circle
